box,activation,hiddenLayers,inputDropout,dropout,epochs,trainSamplesPerIteration,rho,l1,l2,maxw2,epsilon,balance_classes,dataTransformation,lossFunction,executionTime,logLoss1,logLoss2,logLoss3,logLoss4,accuracy1,accuracy2,accuracy3,accuracy4
work,RectifierWithDropout,50;100,0.2,0.2,35,-2,0.98,0.001,0.01,7,1.00E-08,FALSE,sqrtPlus3Over8,CrossEntropy,0.321483092,0.659158282,0.66262188,0.660105805,0.668514552,0.75468649,0.750921197,0.749175771,0.738590821
work,RectifierWithDropout,36;18,0.3,0,5,-2,0.99,0.01,0.001,10,1.00E-08,FALSE,log,CrossEntropy,0.089949347,0.789053677,0.798760376,0.774618932,0.797131457,0.725662573,0.717887388,0.727584201,0.717388494
work,RectifierWithDropout,75;150;75,0.2,0,35,-2,0.98,0.01,0.01,20,1.00E-09,FALSE,sqrtPlus3Over8,CrossEntropy,0.471312595,0.880616886,0.796239004,0.818287645,0.840815488,0.664318035,0.717176288,0.70431185,0.691402715
work,RectifierWithDropout,2048;1024;512,0,0,10,-2,0.9999,1.00E-05,0,7,1.00E-07,FALSE,raw,CrossEntropy,4.850884775,0.619797358,1.993198152,1.532265439,0.600844922,0.761797027,0.259616006,0.472170147,0.775694893
work,RectifierWithDropout,36;36,0.01,0.05,35,-2,0.9999,0.01,0.001,3,1.00E-07,FALSE,raw,CrossEntropy,0.220058758,1.022846482,0.927703509,1.185128608,0.973078991,0.671040724,0.697588726,0.611610317,0.67343245
work,RectifierWithDropout,36;36,0.05,0,10,-2,0.99,1.00E-04,0.01,10,1.00E-08,FALSE,sqrtPlus3Over8,CrossEntropy,0.123002737,0.583375099,0.593909705,0.589784782,0.592612051,0.781447964,0.775033939,0.776391493,0.770911441
work,RectifierWithDropout,35;17,0.1,0.05,15,-2,0.98,0.01,1.00E-05,20,1.00E-06,FALSE,sqrtPlus3Over8,CrossEntropy,0.126861129,0.755814262,0.789026063,0.746239869,0.753666271,0.725662573,0.725386256,0.729135691,0.720620556
work,RectifierWithDropout,100;100,0.3,0.1,10,-2,0.999,0.01,1.00E-05,30,1.00E-09,FALSE,log,CrossEntropy,0.182302853,0.766115806,0.795846816,0.780914518,0.79795499,0.722947641,0.716853061,0.725774129,0.715319974
work,RectifierWithDropout,100;100,0.3,0.1,50,-2,0.999,1.00E-04,0.01,30,1.00E-09,FALSE,raw,CrossEntropy,0.840484037,0.640650257,0.673722518,0.631056036,0.673103062,0.761344538,0.747430345,0.758484711,0.74479638
work,RectifierWithDropout,250;125,0.3,0.3,50,-2,0.98,0.01,1.00E-05,5,1.00E-06,FALSE,log,CrossEntropy,0.967656771,0.827082631,0.824634335,0.846161072,0.953976711,0.712798966,0.706833021,0.704117913,0.65520362
